Name Type MaxSlope MaxVegetation m/hour $/hour
D4	machinery	10	mediumscrub	800	500
D4	machinery	10	mediumscrub	800	500
D6	machinery	10	mediumscrub	850	1000
D7	machinery	10	mediumscrub	900	1500
D8	machinery	10	mediumscrub	1000	2000
D4	machinery	20	mediumscrub	600	500
D6	machinery	20	mediumscrub	700	1000
D7	machinery	20	mediumscrub	800	1500
D8	machinery	20	mediumscrub	900	2000
D4	machinery	30	mediumscrub	300	500
D6	machinery	30	mediumscrub	400	1000
D7	machinery	30	mediumscrub	600	1500
D8	machinery	30	mediumscrub	750	2000
D4	machinery	10	heavyforest	450	500
D6	machinery	10	heavyforest	500	1000
D7	machinery	10	heavyforest	700	1500
D8	machinery	10	heavyforest	850	2000
D4	machinery	20	heavyforest	350	500
D6	machinery	20	heavyforest	400	1000
D7	machinery	20	heavyforest	550	1500
D8	machinery	20	heavyforest	750	2000
D4	machinery	30	heavyforest	200	500
D6	machinery	30	heavyforest	250	1000
D7	machinery	30	heavyforest	400	1500
D8	machinery	30	heavyforest	650	2000
grader	machinery	15	grassland	2000	500
heavy grader	machinery	20	lightshrub	1800	500
